episode,time,task,fatigue,skill_level,semaphore_state,sampling_rate,robot_active,collision
23,15,hmi_supervision,38.19764592690184,2,orange,2.0,False,False
23,30,material_delivery,52.147645926901845,3,red,0.1,True,False
23,45,packaging,68.19764592690184,4,red,0.1,True,False
24,0,rest,28.553849934996556,2,green,5.0,False,False
24,15,hmi_supervision,38.60384993499656,2,orange,2.0,False,False
24,30,material_delivery,52.55384993499656,3,red,0.1,True,False
24,45,packaging,68.60384993499656,4,red,0.1,True,False
25,0,rest,28.128526210892478,2,green,5.0,False,False
25,15,hmi_supervision,38.17852621089248,2,orange,2.0,False,False
25,30,material_delivery,52.12852621089248,3,red,0.1,True,False
25,45,packaging,68.17852621089249,4,red,0.1,True,False
26,0,rest,27.91326378820882,2,green,5.0,False,False
26,15,hmi_supervision,37.96326378820882,2,orange,2.0,False,False
26,30,material_delivery,51.91326378820882,3,red,0.1,True,False
26,45,packaging,67.96326378820882,4,red,0.1,True,False
27,0,rest,27.774172228308032,2,green,5.0,False,False
27,15,hmi_supervision,37.82417222830803,2,orange,2.0,False,False
27,30,material_delivery,51.77417222830803,3,red,0.1,True,False
27,45,packaging,67.82417222830803,4,red,0.1,True,False
28,0,rest,27.654520921780158,2,green,5.0,False,False
28,15,hmi_supervision,37.70452092178016,2,orange,2.0,False,False
28,30,material_delivery,51.65452092178016,3,red,0.1,True,False
28,45,packaging,67.70452092178016,4,red,0.1,True,False
29,0,rest,28.79284166966419,2,green,5.0,False,False
29,15,hmi_supervision,38.84284166966419,2,orange,2.0,False,False
29,30,material_delivery,52.79284166966419,3,red,0.1,True,False
29,45,packaging,68.8428416696642,4,red,0.1,True,False
30,0,rest,28.243062977046097,2,green,5.0,False,False
30,15,hmi_supervision,38.2930629770461,2,orange,2.0,False,False
30,30,material_delivery,52.2430629770461,3,red,0.1,True,False
30,45,packaging,68.2930629770461,4,red,0.1,True,False
31,0,rest,27.71118828968776,2,green,5.0,False,False
31,15,hmi_supervision,37.761188289687766,2,orange,2.0,False,False
31,30,material_delivery,51.71118828968777,3,red,0.1,True,False
31,45,packaging,67.76118828968777,4,red,0.1,True,False
32,0,rest,27.49230849977053,2,green,5.0,False,False
32,15,hmi_supervision,37.54230849977053,2,orange,2.0,False,False
32,30,material_delivery,51.49230849977053,3,red,0.1,True,False
